rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
85,Sean Tucker,S. Tucker,TB,RB,vs. PHI,RB85,1.0,76,94,85.33,5.53,9,2.8,https://www.fantasypros.com/nfl/players/sean-tucker.php,23679
86,Tank Bigsby,T. Bigsby,PHI,RB,at TB,RB86,1.0,72,91,82.80,7.30,9,57.9,https://www.fantasypros.com/nfl/players/tank-bigsby.php,22908
87,Kyle Juszczyk,K. Juszczyk,SF,RB,vs. JAC,RB87,1.0,63,66,64.50,1.50,14,0.9,https://www.fantasypros.com/nfl/players/kyle-juszczyk.php,11798
88,Tyler Goodson,T. Goodson,IND,RB,at LAR,RB88,0.9,83,88,86.20,2.23,11,0.7,https://www.fantasypros.com/nfl/players/tyler-goodson.php,22976
89,Will Shipley,W. Shipley,PHI,RB,at TB,RB89,0.9,76,118,92.50,12.62,9,10.8,https://www.fantasypros.com/nfl/players/will-shipley.php,22930
90,Devin Neal,D. Neal,NO,RB,at BUF,RB90,0.8,85,94,87.80,3.19,11,2.4,https://www.fantasypros.com/nfl/players/devin-neal.php,23682
91,Trey Sermon,T. Sermon,PIT,RB,vs. MIN,RB91,0.8,74,159,100.80,29.82,5,1,https://www.fantasypros.com/nfl/players/trey-sermon.php,19425
92,Alec Ingold,A. Ingold,MIA,RB,vs. NYJ,RB92,0.8,76,76,76.00,0.00,12,0.6,https://www.fantasypros.com/nfl/players/alec-ingold.php,18571
93,Jarquez Hunter,J. Hunter,LAR,RB,vs. IND,RB93,0.7,81,95,90.40,4.84,8,1.7,https://www.fantasypros.com/nfl/players/jarquez-hunter.php,24335
94,Isaac Guerendo,I. Guerendo,SF,RB,vs. JAC,RB94,0.7,78,97,90.80,6.94,14,7.9,https://www.fantasypros.com/nfl/players/isaac-guerendo.php,26392
95,Raheim Sanders,R. Sanders,CLE,RB,at DET,RB95,0.6,79,116,95.25,13.27,9,0.6,https://www.fantasypros.com/nfl/players/raheim-sanders.php,24351
96,Craig Reynolds,C. Reynolds,DET,RB,vs. CLE,RB96,0.6,89,95,92.25,2.77,8,0.6,https://www.fantasypros.com/nfl/players/craig-reynolds.php,19074
97,Jaleel McLaughlin,J. McLaughlin,DEN,RB,vs. CIN,RB97,0.6,82,119,97.25,13.48,12,1.2,https://www.fantasypros.com/nfl/players/jaleel-mclaughlin.php,25876
98,Dameon Pierce,D. Pierce,HOU,RB,vs. TEN,RB98,0.5,85,110,96.75,8.87,6,5.5,https://www.fantasypros.com/nfl/players/dameon-pierce.php,22947
99,Rasheen Ali,R. Ali,BAL,RB,at KC,RB99,0.5,87,92,89.50,2.50,7,0.6,https://www.fantasypros.com/nfl/players/rasheen-ali.php,25983
100,Sincere McCormick,S. McCormick,SF,RB,vs. JAC,RB100,0.4,85,155,108.50,27.29,14,0.6,https://www.fantasypros.com/nfl/players/sincere-mccormick.php,23172
101,Hunter Luepke,H. Luepke,DAL,RB,vs. GB,RB101,0.3,90,92,91.00,1.00,10,0.6,https://www.fantasypros.com/nfl/players/hunter-luepke.php,25941
102,Donovan Edwards,D. Edwards,WAS,RB,at ATL,RB102,0.0,91,165,113.00,30.16,12,1,https://www.fantasypros.com/nfl/players/donovan-edwards.php,23014
103,Jakob Johnson,J. Johnson,HOU,RB,vs. TEN,RB103,0.0,95,100,97.50,2.50,6,0,https://www.fantasypros.com/nfl/players/jakob-johnson.php,18673
104,Jaydon Blue,J. Blue,DAL,RB,vs. GB,RB104,0.0,98,122,110.00,12.00,10,30,https://www.fantasypros.com/nfl/players/jaydon-blue.php,24344
