rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
78,Olamide Zaccheaus,O. Zaccheaus,CHI,WR,at LV,WR78,5.3,71,87,78.38,5.30,5,1.1,https://www.fantasypros.com/nfl/players/olamide-zaccheaus.php,18864
79,Darius Slayton,D. Slayton,NYG,WR,vs. LAC,WR79,5.2,75,88,79.23,3.17,14,3.8,https://www.fantasypros.com/nfl/players/darius-slayton.php,18706
80,Jayden Higgins,J. Higgins,HOU,WR,vs. TEN,WR80,5.2,73,96,81.08,6.67,6,40.6,https://www.fantasypros.com/nfl/players/jayden-higgins.php,27077
81,Jalen Nailor,J. Nailor,MIN,WR,at PIT,WR81,5.1,75,87,81.69,2.78,6,2.4,https://www.fantasypros.com/nfl/players/jalen-nailor.php,24177
82,Dyami Brown,D. Brown,JAC,WR,at SF,WR82,5.0,68,152,84.85,22.05,8,7.4,https://www.fantasypros.com/nfl/players/dyami-brown.php,20113
83,Devontez Walker,D. Walker,BAL,WR,at KC,WR83,4.9,76,133,90.77,17.98,7,0.6,https://www.fantasypros.com/nfl/players/devontez-walker.php,26011
84,Adam Thielen,A. Thielen,MIN,WR,at PIT,WR84,4.9,81,107,86.58,6.82,6,30,https://www.fantasypros.com/nfl/players/adam-thielen.php,13429
85,Pat Bryant,P. Bryant,DEN,WR,vs. CIN,WR85,4.8,79,122,94.85,13.17,12,3.9,https://www.fantasypros.com/nfl/players/pat-bryant.php,27211
86,Andrei Iosivas,A. Iosivas,CIN,WR,at DEN,WR86,4.8,82,105,91.00,7.28,10,1.8,https://www.fantasypros.com/nfl/players/andrei-iosivas.php,25335
87,Alec Pierce,A. Pierce,IND,WR,at LAR,WR87,4.8,77,163,91.67,23.39,11,5.8,https://www.fantasypros.com/nfl/players/alec-pierce.php,23791
88,Malik Washington,M. Washington,MIA,WR,vs. NYJ,WR88,4.7,67,92,84.10,8.71,12,2.4,https://www.fantasypros.com/nfl/players/malik-washington.php,26314
89,Adonai Mitchell,A. Mitchell,IND,WR,at LAR,WR89,4.6,71,94,86.10,6.46,11,2.4,https://www.fantasypros.com/nfl/players/adonai-mitchell.php,24357
90,Luke McCaffrey,L. McCaffrey,WAS,WR,at ATL,WR90,4.4,88,125,96.73,10.51,12,0.7,https://www.fantasypros.com/nfl/players/luke-mccaffrey.php,26328
91,Chris Godwin Jr.,C. Godwin Jr.,TB,WR,vs. PHI,WR91,4.3,59,100,82.22,13.39,9,75.1,https://www.fantasypros.com/nfl/players/chris-godwin.php,16406
92,Ray-Ray McCloud III,R. McCloud III,ATL,WR,vs. WAS,WR92,4.3,86,98,92.22,3.74,5,2.5,https://www.fantasypros.com/nfl/players/ray-ray-mccloud.php,17530
93,Brandin Cooks,B. Cooks,NO,WR,at BUF,WR93,4.3,83,102,92.44,5.34,11,2.7,https://www.fantasypros.com/nfl/players/brandin-cooks.php,12122
94,Xavier Hutchinson,X. Hutchinson,HOU,WR,vs. TEN,WR94,4.2,92,100,95.78,2.35,6,0.6,https://www.fantasypros.com/nfl/players/xavier-hutchinson.php,25332
95,Isaac TeSlaa,I. TeSlaa,DET,WR,vs. CLE,WR95,4.0,91,105,96.11,4.01,8,11.3,https://www.fantasypros.com/nfl/players/isaac-teslaa.php,27446
96,Mack Hollins,M. Hollins,NE,WR,vs. CAR,WR96,4.0,91,106,97.44,4.06,14,0.9,https://www.fantasypros.com/nfl/players/mack-hollins.php,16489
97,Isaiah Bond,I. Bond,CLE,WR,at DET,WR97,4.0,86,97,91.00,3.46,9,1.4,https://www.fantasypros.com/nfl/players/isaiah-bond.php,24371
98,Jaylin Lane,J. Lane,WAS,WR,at ATL,WR98,3.8,80,103,91.38,7.18,12,1,https://www.fantasypros.com/nfl/players/jaylin-lane.php,27454
99,Elijah Moore,E. Moore,BUF,WR,vs. NO,WR99,3.7,95,113,102.00,5.14,7,0.8,https://www.fantasypros.com/nfl/players/elijah-moore.php,20114
100,Jahan Dotson,J. Dotson,PHI,WR,at TB,WR100,3.5,91,123,102.78,8.77,9,1.1,https://www.fantasypros.com/nfl/players/jahan-dotson.php,23101
101,Tyler Johnson,T. Johnson,NYJ,WR,at MIA,WR101,3.3,84,125,105.11,11.99,9,1.1,https://www.fantasypros.com/nfl/players/tyler-johnson.php,18633
102,Kalif Raymond,K. Raymond,DET,WR,vs. CLE,WR102,3.2,99,126,105.56,7.63,8,0.6,https://www.fantasypros.com/nfl/players/kalif-raymond.php,16081
103,Chimere Dike,C. Dike,TEN,WR,at HOU,WR103,3.2,87,116,99.63,8.38,10,0.7,https://www.fantasypros.com/nfl/players/chimere-dike.php,27315
104,Tyler Lockett,T. Lockett,TEN,WR,at HOU,WR104,3.2,98,108,102.50,3.46,10,5.6,https://www.fantasypros.com/nfl/players/tyler-lockett.php,13971
105,CeeDee Lamb,C. Lamb,DAL,WR,vs. GB,WR105,3.0,75,161,99.57,26.17,10,99.8,https://www.fantasypros.com/nfl/players/ceedee-lamb.php,19202
106,Jordan Whittington,J. Whittington,LAR,WR,vs. IND,WR106,2.9,102,114,108.29,3.57,8,1.3,https://www.fantasypros.com/nfl/players/jordan-whittington.php,23135
107,David Moore,D. Moore,CAR,WR,at NE,WR107,2.8,102,119,109.14,6.53,14,0.9,https://www.fantasypros.com/nfl/players/david-moore.php,16757
108,Tim Patrick,T. Patrick,JAC,WR,at SF,WR108,2.8,97,131,111.71,10.39,8,1.1,https://www.fantasypros.com/nfl/players/tim-patrick.php,16556
109,Demarcus Robinson,D. Robinson,SF,WR,vs. JAC,WR109,2.6,89,213,118.57,41.23,14,1.1,https://www.fantasypros.com/nfl/players/demarcus-robinson.php,15665
110,Allen Lazard,A. Lazard,NYJ,WR,at MIA,WR110,2.5,109,129,115.57,7.37,9,1,https://www.fantasypros.com/nfl/players/allen-lazard.php,17301
111,Savion Williams,S. Williams,GB,WR,at DAL,WR111,2.4,96,127,106.50,10.24,5,0.7,https://www.fantasypros.com/nfl/players/savion-williams.php,27144
112,Tutu Atwell,T. Atwell,LAR,WR,vs. IND,WR112,2.4,98,116,107.83,5.87,8,2.3,https://www.fantasypros.com/nfl/players/tutu-atwell.php,20126
113,Tre Harris,T. Harris,LAC,WR,at NYG,WR113,2.3,99,125,108.50,9.59,12,12.8,https://www.fantasypros.com/nfl/players/tre-harris.php,26215
114,Arian Smith,A. Smith,NYJ,WR,at MIA,WR114,2.2,84,127,109.00,15.17,9,0.6,https://www.fantasypros.com/nfl/players/arian-smith.php,22965
115,Nick Westbrook-Ikhine,N. Westbrook-Ikhine,MIA,WR,vs. NYJ,WR115,2.1,103,119,109.50,6.18,12,2.6,https://www.fantasypros.com/nfl/players/nick-westbrook.php,19747
116,Jaylin Noel,J. Noel,HOU,WR,vs. TEN,WR116,2.0,105,126,116.00,7.77,6,1.9,https://www.fantasypros.com/nfl/players/jaylin-noel.php,27122
117,Tez Johnson,T. Johnson,TB,WR,vs. PHI,WR117,1.9,105,126,117.00,6.88,9,0.7,https://www.fantasypros.com/nfl/players/tez-johnson.php,27147
118,Chris Moore,C. Moore,WAS,WR,at ATL,WR118,1.9,91,116,106.60,9.09,12,0,https://www.fantasypros.com/nfl/players/chris-moore.php,15654
119,Greg Dortch,G. Dortch,ARI,WR,vs. SEA,WR119,1.8,104,122,113.80,6.05,8,0.8,https://www.fantasypros.com/nfl/players/greg-dortch.php,18585
120,Ryan Flournoy,R. Flournoy,DAL,WR,vs. GB,WR120,1.8,101,137,114.40,13.29,10,1.3,https://www.fantasypros.com/nfl/players/ryan-flournoy.php,26398
121,Jamari Thrash,J. Thrash,CLE,WR,at DET,WR121,1.8,114,124,119.60,4.22,9,0.7,https://www.fantasypros.com/nfl/players/jamari-thrash.php,26162
122,Brycen Tremayne,B. Tremayne,CAR,WR,at NE,WR122,1.7,98,132,120.20,11.77,14,0,https://www.fantasypros.com/nfl/players/brycen-tremayne.php,25631
123,Tylan Wallace,T. Wallace,BAL,WR,at KC,WR123,1.7,110,128,120.60,6.50,7,1,https://www.fantasypros.com/nfl/players/tylan-wallace.php,19801
124,Roman Wilson,R. Wilson,PIT,WR,vs. MIN,WR124,1.6,114,134,121.20,6.85,5,1.8,https://www.fantasypros.com/nfl/players/roman-wilson.php,26160
125,Van Jefferson,V. Jefferson,TEN,WR,at HOU,WR125,1.6,110,130,121.40,7.47,10,0.7,https://www.fantasypros.com/nfl/players/van-jefferson.php,19483
126,Jack Bech,J. Bech,LV,WR,vs. CHI,WR126,1.5,115,132,123.00,6.16,8,5.7,https://www.fantasypros.com/nfl/players/jack-bech.php,27224
127,Zay Jones,Z. Jones,ARI,WR,vs. SEA,WR127,1.5,107,121,113.00,5.79,8,0.6,https://www.fantasypros.com/nfl/players/zay-jones.php,16431
128,Trent Sherfield Sr.,T. Sherfield Sr.,DEN,WR,vs. CIN,WR128,1.4,113,135,125.00,7.67,12,0.1,https://www.fantasypros.com/nfl/players/trent-sherfield.php,17888
129,Skyy Moore,S. Moore,SF,WR,vs. JAC,WR129,1.3,117,136,126.60,6.31,14,1.9,https://www.fantasypros.com/nfl/players/skyy-moore.php,23905
130,Devaughn Vele,D. Vele,NO,WR,at BUF,WR130,1.3,100,130,115.50,10.71,11,0.9,https://www.fantasypros.com/nfl/players/devaughn-vele.php,26409
131,Marquez Valdes-Scantling,M. Valdes-Scantling,SF,WR,vs. JAC,WR131,1.3,103,129,115.50,9.45,14,0.6,https://www.fantasypros.com/nfl/players/marquez-valdesscantling.php,17528
132,Xavier Legette,X. Legette,CAR,WR,at NE,WR132,1.0,85,174,118.00,33.73,14,29.4,https://www.fantasypros.com/nfl/players/xavier-legette.php,26136
133,Kyle Williams,K. Williams,NE,WR,vs. CAR,WR133,1.2,108,125,119.50,6.95,14,7,https://www.fantasypros.com/nfl/players/kyle-williams-wr-2025.php,27487
134,John Metchie III,J. Metchie III,PHI,WR,at TB,WR134,1.0,119,149,134.25,10.62,9,0.8,https://www.fantasypros.com/nfl/players/john-metchie.php,22895
135,KeAndre Lambert-Smith,K. Lambert-Smith,LAC,WR,at NYG,WR135,1.1,101,144,124.00,17.68,12,0.9,https://www.fantasypros.com/nfl/players/keandre-lambert-smith.php,24372
