rank_ecr,player_name,player_short_name,player_team_id,player_positions,player_opponent,pos_rank,r2p_pts,rank_min,rank_max,rank_ave,rank_std,player_bye_week,player_owned_avg,player_page_url,player_id
66,Joshua Palmer,J. Palmer,BUF,WR,vs. NO,WR66,5.1,60,70,66.36,2.84,7,20.5,https://www.fantasypros.com/nfl/players/josh-palmer.php,22845
67,Jauan Jennings,J. Jennings,SF,WR,vs. JAC,WR67,5.1,36,125,66.82,25.21,14,82.3,https://www.fantasypros.com/nfl/players/jauan-jennings.php,19590
68,Hunter Renfrow,H. Renfrow,CAR,WR,at NE,WR68,4.8,59,80,70.09,5.63,14,2.9,https://www.fantasypros.com/nfl/players/hunter-renfrow.php,18345
69,JuJu Smith-Schuster,J. Smith-Schuster,KC,WR,vs. BAL,WR69,4.8,64,102,72.45,11.24,10,2.2,https://www.fantasypros.com/nfl/players/juju-smith-schuster.php,16427
70,DeMario Douglas,D. Douglas,NE,WR,vs. CAR,WR70,4.7,67,82,72.45,5.38,14,18.7,https://www.fantasypros.com/nfl/players/demario-douglas.php,25304
71,Dont'e Thornton Jr.,D. Thornton Jr.,LV,WR,vs. CHI,WR71,4.6,66,79,73.36,3.57,8,14.7,https://www.fantasypros.com/nfl/players/donte-thornton-jr.php,27288
72,Jalen Tolbert,J. Tolbert,DAL,WR,vs. GB,WR72,4.6,65,83,74.18,6.24,10,2,https://www.fantasypros.com/nfl/players/jalen-tolbert.php,23770
73,Kendrick Bourne,K. Bourne,SF,WR,vs. JAC,WR73,4.4,69,81,74.27,3.60,14,0.8,https://www.fantasypros.com/nfl/players/kendrick-bourne.php,17066
74,Sterling Shepard,S. Shepard,TB,WR,vs. PHI,WR74,4.3,61,82,74.64,7.43,9,1,https://www.fantasypros.com/nfl/players/sterling-shepard.php,15569
75,Luther Burden III,L. Burden III,CHI,WR,at LV,WR75,4.2,70,80,75.55,3.09,5,18,https://www.fantasypros.com/nfl/players/luther-burden-iii.php,27016
76,Michael Wilson,M. Wilson,ARI,WR,vs. SEA,WR76,4.2,73,81,75.73,2.56,8,5.5,https://www.fantasypros.com/nfl/players/michael-wilson.php,25333
77,Dyami Brown,D. Brown,JAC,WR,at SF,WR77,4.2,69,96,77.36,8.03,8,7.4,https://www.fantasypros.com/nfl/players/dyami-brown.php,20113
78,Alec Pierce,A. Pierce,IND,WR,at LAR,WR78,4.1,71,95,77.36,6.54,11,5.8,https://www.fantasypros.com/nfl/players/alec-pierce.php,23791
79,Darius Slayton,D. Slayton,NYG,WR,vs. LAC,WR79,4.0,74,82,77.45,2.71,14,3.8,https://www.fantasypros.com/nfl/players/darius-slayton.php,18706
80,Jayden Higgins,J. Higgins,HOU,WR,vs. TEN,WR80,4.0,73,96,79.36,6.08,6,40.6,https://www.fantasypros.com/nfl/players/jayden-higgins.php,27077
81,Olamide Zaccheaus,O. Zaccheaus,CHI,WR,at LV,WR81,3.9,72,87,79.82,4.78,5,1.1,https://www.fantasypros.com/nfl/players/olamide-zaccheaus.php,18864
82,Jalen Nailor,J. Nailor,MIN,WR,at PIT,WR82,3.8,78,83,80.09,1.56,6,2.4,https://www.fantasypros.com/nfl/players/jalen-nailor.php,24177
83,Parker Washington,P. Washington,JAC,WR,at SF,WR83,3.8,71,89,80.64,5.85,8,0.7,https://www.fantasypros.com/nfl/players/parker-washington.php,23106
84,Adam Thielen,A. Thielen,MIN,WR,at PIT,WR84,3.8,83,93,85.55,2.74,6,30,https://www.fantasypros.com/nfl/players/adam-thielen.php,13429
85,Devontez Walker,D. Walker,BAL,WR,at KC,WR85,3.8,72,131,86.82,19.00,7,0.6,https://www.fantasypros.com/nfl/players/devontez-walker.php,26011
86,Andrei Iosivas,A. Iosivas,CIN,WR,at DEN,WR86,3.7,84,103,90.36,7.05,10,1.8,https://www.fantasypros.com/nfl/players/andrei-iosivas.php,25335
87,Adonai Mitchell,A. Mitchell,IND,WR,at LAR,WR87,3.7,69,92,86.44,6.33,11,2.4,https://www.fantasypros.com/nfl/players/adonai-mitchell.php,24357
88,Malik Washington,M. Washington,MIA,WR,vs. NYJ,WR88,3.7,68,93,87.33,7.57,12,2.4,https://www.fantasypros.com/nfl/players/malik-washington.php,26314
89,Pat Bryant,P. Bryant,DEN,WR,vs. CIN,WR89,3.5,85,122,95.36,13.28,12,3.9,https://www.fantasypros.com/nfl/players/pat-bryant.php,27211
90,Chris Godwin Jr.,C. Godwin Jr.,TB,WR,vs. PHI,WR90,3.4,62,101,87.00,13.66,9,75.1,https://www.fantasypros.com/nfl/players/chris-godwin.php,16406
91,Luke McCaffrey,L. McCaffrey,WAS,WR,at ATL,WR91,3.4,89,129,98.10,11.40,12,0.7,https://www.fantasypros.com/nfl/players/luke-mccaffrey.php,26328
92,Brandin Cooks,B. Cooks,NO,WR,at BUF,WR92,3.3,83,103,93.00,5.55,11,2.7,https://www.fantasypros.com/nfl/players/brandin-cooks.php,12122
93,CeeDee Lamb,C. Lamb,DAL,WR,vs. GB,WR93,3.2,77,96,88.29,5.77,10,99.8,https://www.fantasypros.com/nfl/players/ceedee-lamb.php,19202
94,Ray-Ray McCloud III,R. McCloud III,ATL,WR,vs. WAS,WR94,3.1,88,100,94.13,3.22,5,2.5,https://www.fantasypros.com/nfl/players/ray-ray-mccloud.php,17530
95,Isaac TeSlaa,I. TeSlaa,DET,WR,vs. CLE,WR95,3.1,90,105,95.88,4.43,8,11.3,https://www.fantasypros.com/nfl/players/isaac-teslaa.php,27446
